"id","nome","pontuacao","requisito_id","cenario_padrao","unidade_adm_id"
1,"Solução envolvendo processamentos distribuídos.",3,12,False,42
2,"Solução sem a utilização de processamentos distribuídos. ",1,12,True,42
3,"Usuários externos à instituição (cidadãos)",4,11,True,42
4,"Usuários externos à instituição (demais órgãos).",2,11,False,42
6,"Baixo (até 1.000 usuários e baixo número de requisições/segundo).",1,10,True,42
7,"Médio (de 1.000 a 10.000 usuários e moderado número de requisições/segundo).",2,10,False,42
9,"Solução com alto nível de performance, que requeiram baixos tempos de resposta em processamentos.",3,9,True,42
10,"Solução sem requisitos específicos de performance.",1,9,False,42
11,"Solução 24 x 7 (24 horas por dia, 7 dias por semana, 365 dias por ano).",2,8,True,42
12,"Solução 8 x 5 (horário comercial).",1,8,False,42
13,"Solução com requisitos específicos de segurança, tais como o uso de certificado digital, autenticação em dois fatores, criptografia, uso de protocolos seguros específicos",2,7,True,42
14,"Solução sem requisitos específicos de segurança.",1,7,False,42
15,"Solução com necessidades de integração com outras soluções, integração com APIs externas, componentes, banco de dados externos ou uso de microsserviços etc",3,6,True,42
16,"Solução sem necessidades de integração",1,6,False,42
17,"Aplicação de atualização de maior impacto. Por exemplo: atualização de versão",4,5,True,42
18,"Aplicação de atualização de menor impacto. Por exemplo aplicação de patches.",3,5,False,42
19,"Instalação de um novo servidor/ambiente",2,5,False,42
20,"Configuração ou Habilitação de nova funcionalidade ou feature ou componente ou restabelecimento de funcionamento",1,5,False,42
21,"Gera indisponibilidade total das aplicações/serviços (Alto impacto).",5,4,False,42
22,"Afeta grande parte das funcionalidades das aplicações/serviços ou lentidão de acesso (Médio impacto).",3,4,False,42
23,"Afeta algumas funcionalidades das aplicações/serviços ou lentidão de acesso (Baixo impacto).",2,4,False,42
24,"Sem requisitos de impacto",1,4,True,42
25,"Baixo (envolve dados de até 4 GB)",1,3,True,42
26,"Médio (envolve dados de 4 GB até 25 GB).",2,3,False,42
27,"Alto (envolve dados acima de 25 GB).",4,3,False,42
28,"Somente dados estruturados",1,2,True,42
29,"Dados estruturados e semi-estruturados",2,2,False,42
30,"Dados estruturados, semi-estruturados e não-estruturados",5,2,False,42
31,"Processamento em batch",1,1,True,42
32,"Processamento em streaming/real time",3,1,False,42
8,"Alto (mais de 10.000 usuários e elevado número de requisições/segundo).",3,10,False,42
5,"Usuários interno da instituição (próprio órgão).",1,11,False,42
36,"Soluções de TI envolvendo grandes volumes de dados (Big Data).",5,13,False,41
37,"Soluções de TI envolvendo volume padrão de dados.",3,13,True,41
38,"Soluções de TI envolvendo processamentos distribuídos.",3,14,False,41
39,"Soluções de TI sem a utilização de processamentos distribuídos.",1,14,True,41
40,"Soluções de TI clusterizadas.",3,15,False,41
41,"Soluções de TI não clusterizadas.",1,15,True,41
42,"Soluções de TI destinadas ao público de alto escalão da gestão",4,16,False,41
43,"Soluções de TI destinadas ao público externo à instituição (cidadãos).",4,16,False,41
44,"Soluções de TI destinadas ao público externo à instituição (colaboradores externos).",2,16,False,41
45,"Soluções de TI destinadas ao público interno à instituição (colaboradores internos).",1,16,True,41
46,"Soluções de TI com mais de 10.000 usuários e elevado número de requisições/segundo.",3,17,False,41
47,"Soluções de TI de 1.000 a 10.000 usuários e moderado número de requisições/segundo.",2,17,False,41
48,"Soluções de TI com até 1.000 usuários e baixo número de requisições/segundo.",1,17,True,41
49,"Soluções de TI com restrições de performance, que requeiram baixos tempos de resposta em processamentos específicos, cargas, velocidade de resposta de processamentos em telas etc.",3,18,False,41
50,"Soluções de TI sem restrições ou requisitos específicos de performance.",1,18,True,41
51,"Soluções de TI que exijam alta disponibilidade: 24 x 7 (24 horas por dia, 7 dias por semana).",2,19,False,41
52,"Soluções de TI com requisitos padrão de disponibilidade: 8 x 5 (horário comercial).",1,19,True,41
53,"Soluções de TI com requisitos específicos de segurança, tais como o uso de certificado digital, autenticação em dois fatores, criptografia, uso de protocolos seguros específicos, uso de captcha, assinatura digital.",2,20,True,41
54,"Soluções de TI sem requisitos específicos de segurança.",1,20,False,41
55,"Soluções de TI com necessidade de integrações com outros sistemas externos, integração com APIs externas, componentes, banco de dados externos ou uso de microsserviços etc.",4,21,False,41
56,"Soluções de TI com necessidade de integrações com sistemas internos, sem o uso de microsserviços etc.",2,21,True,41
57,"Soluções de TI sem necessidade de integrações.",1,21,False,41
58,"Soluções de TI com quantidade limite de erros em cálculos e processamentos com erro, regras para rollback quando houver alguma falha, recursos para restauração automática do sistema em caso de queda de energia etc.",2,22,False,41
59,"Aplicações ou Serviços com requisito padrão de confiabilidade.",1,22,True,41
60,"Soluções de TI com exigências específicas de padrão de log de erro, de log de informação, padrão de mensagens, metodologia para desenvolvimento do sistema, padrões de projeto (design patterns) a serem aplicados, padrões arquiteturais etc.",2,23,False,41
61,"Soluções de TI que não possuam padrões de projeto específicos.",1,23,True,41
62,"Soluções de TI com exigências de conformidade do software com alguma legislação pertinente ao sistema, por exemplo, atendimento a normas específicas e prazos legais.",3,24,False,41
63,"Soluções de TI sem exigências legais.",1,24,True,41
64,"Soluções de TI relacionadas aos projetos prioritários da Secretaria de Estado da Saúde de Goiás",3,25,False,41
65,"Soluções de TI não relacionadas aos projetos prioritários da Secretaria de Estado de Saúde de Goiás",1,25,True,41
66,"Soluções de TI que demandam atendimento rápido ou imediato",3,26,False,41
67,"Soluções de TI que poderão ser atendidas dentro de um prazo estabelecido",1,26,True,41
68,"Soluções de TI com ALTO impacto econômico ou social",3,27,False,41
69,"Soluções de TI com MÉDIO impacto econômico ou social",2,27,False,41
70,"Soluções de TI com BAIXO impacto econômico ou social",1,27,True,41
