"id","projeto_id","origem_id"
1,65,3
2,65,2
3,146,3
4,146,2
5,73,3
6,73,2
7,72,3
8,72,2
9,71,3
10,71,2
11,70,3
12,70,2
13,69,3
14,69,2
15,68,3
16,68,2
17,67,3
18,67,2
19,150,3
20,150,2
21,151,3
22,151,2
23,152,3
24,152,2
25,153,3
26,153,2
27,61,3
28,61,2
29,2,4
30,74,3
31,96,4
32,75,1
33,213,1
34,214,1
35,348,2
38,374,5
37,358,2
39,260,5
40,339,5
41,340,5
42,337,5
43,363,1
44,266,1
45,266,2
46,311,2
47,421,4
48,422,1
49,470,4
50,483,4
53,570,4
52,408,3
54,598,3
55,629,3
56,670,3
57,693,3
58,744,3
59,751,2
60,695,1
61,786,3
62,258,2
63,871,3
64,872,2
65,873,3
66,522,3
67,789,1
68,895,3
69,749,3
70,908,3
71,968,3
72,973,1
73,982,4
74,984,2
