"id","projeto_id","resultado_chave_id"
2,855,24
3,893,16
4,897,16
5,898,17
7,899,17
8,657,18
9,900,18
10,819,19
11,889,19
13,902,16
14,864,24
16,888,8
17,891,8
18,878,8
19,905,15
20,815,14
21,906,8
22,907,8
23,908,8
25,910,8
26,911,8
28,913,8
29,914,8
30,916,17
32,871,4
34,918,1
35,920,8
36,784,4
37,921,7
41,922,6
43,922,8
44,922,9
45,921,6
46,921,8
47,921,9
48,923,6
49,923,9
50,925,1
51,927,2
52,928,2
53,929,2
54,930,3
55,931,3
56,932,4
58,934,4
59,759,10
60,650,10
61,760,10
62,936,10
63,757,13
64,937,13
65,938,11
66,939,25
67,940,11
68,684,20
69,761,12
70,761,25
71,766,5
72,944,6
73,945,7
74,946,9
75,947,15
76,923,7
77,923,8
78,874,6
79,874,7
80,874,8
81,874,9
82,919,5
83,948,25
84,948,12
85,949,10
86,955,14
87,956,15
88,958,24
89,754,8
90,100,8
91,964,24
93,736,8
94,829,8
97,975,8
98,793,23
99,977,8
100,981,23
101,976,16
102,986,23
103,988,24
104,993,23
105,995,10
106,997,16
