"id","data_inicio","data_fim","ust_valor","contrato_id"
4,"2024-02-08","2025-02-07","280.33",3
10,"2025-02-08","2026-02-07","280.33",3
8,"2025-01-20","2025-04-10","82.94",2
6,"2024-04-18","2025-01-19","79.17",2
1,"2024-01-30","2025-01-19","106.39",1
9,"2025-01-20","2025-04-15","111.45",1
12,"2025-04-16","2025-12-16","116.26",1
11,"2025-04-11","2026-02-17","84.72",2
14,"2026-02-18","2028-02-16","88.69",2
15,"2026-02-08","2026-03-16","280.33",3
17,"2026-03-17","2027-02-08","307.41",3
13,"2025-12-17","2026-05-05","121.7",1
18,"2026-05-06","2027-07-31","123.59",1
